id,name,category,maturity,impact,description,keyTech,details
transformers,Transformers,Techniques,Adopt,Critical,The foundation of modern AI using self-attention mechanisms.,Attention Is All You Need,"### Definition
The Transformer is the foundational architecture of modern AI, replacing RNNs/LSTMs with a parallelizable self-attention mechanism. It allows models to weight the significance of different parts of input data dynamically.

### Application
It is the 'compute engine' inside GPT-4, Gemini, and Claude. In enterprise settings, understanding Transformer blocks is critical for debugging context window limits and optimizing inference costs.

### Risks
Quadratic complexity (O(N²)) means that doubling input text quadruples the compute required. Without attention-optimization (like FlashAttention), long-document processing becomes economically unviable."
slms,Small Language Models (SLMs),Techniques,Adopt,Strategic,"Efficient, high-performance models for edge and privacy-first use.",Phi-3, Gemma,"### Definition
Small Language Models (SLMs) are high-efficiency models typically under 10B parameters, trained on curated, high-quality datasets rather than raw web-scrapes.

### Application
Ideal for edge computing, mobile devices, and high-privacy on-premise deployments where data cannot leave the local network. They provide GPT-3.5 level reasoning at a fraction of the VRAM cost.

### Risks
Narrower 'world knowledge' compared to frontier models. They are prone to failure on highly abstract or 'out-of-distribution' reasoning tasks."
finetuning,Finetuning,Techniques,Adopt,Very High,Adapting pre-trained models to specific domain data.,PyTorch, Axolotl,"### Definition
Finetuning is the process of taking a pre-trained 'base' model and performing additional training on a specialized, smaller dataset to adapt its behavior or knowledge.

### Application
Used for aligning a model to a specific corporate brand voice, legal nomenclature, or specialized medical terminology that was under-represented in the original training data.

### Risks
Catastrophic Forgetting: Over-tuning on specific data can cause the model to lose its general reasoning capabilities or 'forget' basic logic."
peft-lora,PEFT / LoRA,Techniques,Adopt,High,Efficient tuning of a small subset of model parameters.,HuggingFace PEFT,"### Definition
Parameter-Efficient Fine-Tuning (PEFT), specifically Low-Rank Adaptation (LoRA), freezes the original model weights and only trains a tiny 'adapter' layer (often <1% of the total parameters).

### Application
Allows enterprises to maintain hundreds of specialized 'expert' models for different tasks (Legal, HR, Code) using a single base-model instance, saving millions in GPU memory.

### Risks
LoRA adapters may not capture deep semantic changes as effectively as full-weight finetuning for extremely complex domain shifts."
rlhf,RLHF (Preference Alignment),Techniques,Adopt,Critical,Reinforcement learning from human feedback for safety and intent.,,"### Definition
Reinforcement Learning from Human Feedback (RLHF) involves a secondary training phase where human evaluators rank model outputs to create a reward signal.

### Application
This is the critical step that turns a raw 'next-token predictor' into a helpful assistant that follows instructions and avoids toxic content.

### Risks
Reward Hacking: The model might learn to produce 'pleasing' but factually incorrect answers if evaluators prioritize tone over truth."
dpo,Direct Preference Opt. (DPO),Techniques,Adopt,Very High,Direct optimization of model preferences without reward models.,,"### Definition
Direct Preference Optimization (DPO) is a mathematically streamlined alternative to RLHF that optimizes the model policy directly from human preference pairs without needing a separate reward model.

### Application
Used to align smaller models efficiently, offering a more stable and less computationally expensive way to implement 'alignment' compared to PPO-based RLHF.

### Risks
It can be sensitive to the quality of the preference pairs; noisy data in the preference set can lead to skewed or biased model behaviors."
moe,Mixture of Experts (MoE),Techniques,Adopt,Very High,Activating specialized parameter groups for efficiency.,Mixtral 8x7B,"### Definition
Mixture of Experts (MoE) uses a 'routing' layer to only activate a small subset of the model's total parameters for any given token.

### Application
Allows a model like Mixtral 8x7B to have the power of a 47B parameter model while only using the compute of a 12B parameter model during inference.

### Risks
Deployment complexity is high; while compute is low, the VRAM requirement remains massive because the entire model (all experts) must usually be loaded into memory."
quantization,Quantization & Optimization,Techniques,Adopt,Very High,Reducing precision to increase inference speed and lower memory.,GGUF, AWQ,"### Definition
Quantization is the process of reducing the numerical precision of model weights (e.g., from 16-bit floats to 4-bit integers) to reduce memory and compute.

### Application
Allows a 70B parameter model that would usually require 140GB of VRAM to run on a single 48GB GPU with minimal loss in reasoning quality.

### Risks
Precision Loss: Aggressive quantization (below 4 bits) can significantly degrade the model's ability to handle complex math or subtle logic."
semantic-chunking,Semantic Chunking,Techniques,Adopt,High,Splitting text based on meaning boundaries for RAG.,,"### Definition
Semantic Chunking is a text segmentation technique that uses embeddings or model-based analysis to find natural topic boundaries in a document.

### Application
Used in RAG to ensure that retrieved segments contain complete thoughts, avoiding mid-sentence cuts that destroy context for the model.

### Risks
Computational overhead: It requires running embedding models during the ingestion phase, which is more expensive than fixed-length character splitting."
semantic-similarity,Semantic Similarity,Techniques,Adopt,Very High,Mathematical closeness of concepts in vector space.,,"### Definition
Semantic Similarity is the measure of how conceptually related two pieces of text are, typically calculated using cosine similarity on vector embeddings.

### Application
It is the mathematical heart of semantic search and recommendation engines, allowing systems to find 'apples' when a user searches for 'fruit'.

### Risks
Embedding drift: As models evolve, the vector space can change, potentially leading to 'nearest neighbors' that are mathematically close but logically unrelated."
context-window,Context Window,Techniques,Adopt,High,Total token memory available in a single inference turn.,,"### Definition
The Context Window is the maximum sequence length a model can process in a single pass, including system instructions, input text, and generated output.

### Application
Determines whether a model can analyze an entire book, codebase, or legal transcript without needing to summarize or split the data into multiple turns.

### Risks
'Lost in the Middle': Models often have higher accuracy at the start and end of their context window, frequently failing to recall information buried in the middle."
agentic-rag,Agentic RAG,Techniques,Trial,Critical,AI planning and executing multi-step retrieval strategies.,LangGraph,"### Definition
Agentic RAG moves beyond simple 'search-and-stuff' retrieval by giving the AI agency. The model first plans a search strategy, evaluates the search results for quality, and decides if it needs more info before answering.

### Application
Critical for complex research tasks where the answer isn't in a single document but requires synthesizing data from multiple disparate sources.

### Risks
Recursive loops and high token consumption. Without strict 'exit conditions,' an agent might continue searching indefinitely, leading to massive API bills."
prompt-chaining,Prompt Chaining,Techniques,Trial,High,Sequencing multiple prompts to solve complex tasks.,,"### Definition
Prompt Chaining is a design pattern where the output of one model call is passed as the input to a subsequent model call to perform complex, multi-stage reasoning.

### Application
Used for high-reliability data pipelines, such as 'Extract' -> 'Validate' -> 'Format' -> 'Translate'. It reduces hallucination by focusing the model on one task at a time.

### Risks
Latency and cost: Every 'link' in the chain requires a full round-trip to the model, significantly increasing the time to generate a final result."
knowledge-distillation,Knowledge Distillation,Techniques,Trial,High,Transferring knowledge from teacher models to student models.,,"### Definition
Knowledge Distillation is a compression technique where a smaller 'student' model is trained to reproduce the behavior and output distribution of a larger 'teacher' model.

### Application
Creating high-speed, domain-specific models for production where the cost and latency of a massive frontier model are prohibitive.

### Risks
'Dark knowledge' loss: Students often capture the teacher's surface-level patterns but miss the deep reasoning capabilities and edge-case robustness."
synthetic-data,Synthetic Data,Techniques,Trial,Very High,AI-generated training data for low-resource domains.,Gretel.ai,"### Definition
Synthetic Data is information that is artificially generated by an AI model rather than collected from real-world events or users.

### Application
Used to train models in privacy-sensitive domains (like healthcare) or to 'bootstrap' models for rare edge cases where real data is scarce.

### Risks
Model Collapse: If models are trained too heavily on their own outputs, they can lose variability and start producing repetitive, low-quality 'gibberish'."
data-distillation,Data Distillation,Techniques,Trial,Medium,Compressing datasets into essential representative knowledge.,,"### Definition
Data Distillation is a dataset reduction method that identifies and extracts the most information-dense training samples to create a smaller, high-quality training set.

### Application
Accelerating training cycles and reducing storage costs by removing redundant or noisy data points that don't contribute to model convergence.

### Risks
Overfitting: If the distillation process is too aggressive, the resulting dataset may lose the diversity needed for the model to generalize to real-world data."
long-term-memory,Long-Term Agent Memory,Techniques,Trial,Strategic,Persistence architectures for cross-session agent knowledge.,MemGPT,"### Definition
Long-Term Agent Memory utilizes external storage (databases) and ranking algorithms to allow AI agents to recall user preferences and past interactions over months or years.

### Application
Enabling persistent 'co-pilots' that learn how you code, write, or manage projects, providing contextually relevant assistance based on historic context.

### Risks
Memory management: Deciding what to 'forget' is hard. Storing every interaction leads to high costs and noise during retrieval."
graph-rag,GraphRAG,Techniques,Assess,High,Retrieval augmented by structured knowledge graphs.,Neo4j,"### Definition
GraphRAG combines vector embeddings with a structured Knowledge Graph (KG). It maps entities and their relationships (e.g., 'Company A' -> 'Acquired' -> 'Company B').

### Application
Solves the 'multi-hop' problem where a model needs to find connections between concepts that don't share similar keywords but are logically linked.

### Risks
Generating the initial Knowledge Graph is computationally expensive and requires high-quality source data to avoid 'garbage-in, garbage-out' scenarios."
ai-alignment,AI Alignment,Techniques,Assess,Very High,Ensuring model goals match human values and intent.,,"### Definition
AI Alignment is the technical and philosophical challenge of ensuring that an AI system's objectives and behaviors precisely match human values and instructions.

### Application
Fundamental to safe AI deployment. It involves techniques like RLHF, DPO, and Constitutional AI to prevent models from pursuing harmful goals.

### Risks
Specification Gaming: Models may find 'shortcuts' that satisfy the reward function (making it look like they are aligned) without actually understanding the underlying value."
world-models,World Models,Techniques,Experimental,Strategic,AI internal simulations of physical or logical systems.,,"### Definition
A World Model is a component that enables an agent to simulate the future state of its environment, allowing it to 'imagine' consequences before acting.

### Application
Essential for advanced robotics and autonomous vehicles, where the AI needs to predict the physical movement of objects or the logical outcomes of complex actions.

### Risks
Sim-to-Real gap: If the world model's internal simulation is even slightly inaccurate, the agent's real-world actions can become erratic or dangerous."
liquid-networks,Liquid Neural Networks,Techniques,Experimental,High,Dynamically adjusting architectures for time-series data.,MIT Liquid AI,"### Definition
Liquid Neural Networks are a new class of AI inspired by the biological brains of small organisms, using differential equations to create a continuous-time model.

### Application
Superior performance for time-series data, such as autonomous driving, drone navigation, and financial forecasting where temporal context is fluid.

### Risks
Immature tooling: Standard libraries like PyTorch are still optimizing for these architectures, making them harder to deploy in large-scale production."
federated-learning,Federated Learning,Techniques,Experimental,Medium,Decentralized training without moving raw data.,,"### Definition
Federated Learning allows models to be trained on decentralized data residing on end-user devices or servers without ever moving the raw data to a central server.

### Application
Privacy-preserving training for mobile phones (auto-complete) or healthcare institutions sharing model insights without sharing private patient records.

### Risks
Inconsistent data quality (Non-IID) and high communication overhead between the central 'aggregator' and the thousands of edge devices."
neuro-symbolic-strategy,Neuro-Symbolic Strategy,Techniques,Experimental,Very High,Combining neural learning with symbolic logical rules.,,"### Definition
Neuro-Symbolic AI combines the pattern-recognition power of neural networks with the formal logic and interpretability of symbolic systems.

### Application
Creating AI that can explain its reasoning in mathematical terms, essential for scientific discovery, formal software verification, and regulated decision making.

### Risks
Integration friction: Marrying the 'fuzzy' world of gradients with the 'exact' world of logic rules is a complex engineering and mathematical challenge."
